ticker,setor,subsetor,segmento
AALR3,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
ABCB4,Financeiro,Intermediários Financeiros,Bancos
ABEV3,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes
ADHM3,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
AFLT3,Utilidade Pública,Energia Elétrica,Energia Elétrica
AGRO3,Consumo não Cíclico,Agropecuária,Agricultura
AHEB3,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
ALPA3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
ALPA4,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
ALSO3,Financeiro,Exploração de Imóveis,Exploração de Imóveis
ALUP11,Utilidade Pública,Energia Elétrica,Energia Elétrica
ALUP3,Utilidade Pública,Energia Elétrica,Energia Elétrica
ALUP4,Utilidade Pública,Energia Elétrica,Energia Elétrica
AMAR3,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
ANIM3,Consumo Cíclico,Diversos,Serviços Educacionais
APER3,Financeiro,Previdência e Seguros,Corretoras de Seguros
ARZZ3,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
ATOM3,Outros,Outros,Outros
AZEV3,Bens Industriais,Construção e Engenharia,Construção Pesada
AZEV4,Bens Industriais,Construção e Engenharia,Construção Pesada
AZUL4,Bens Industriais,Transporte,Transporte Aéreo
B3SA3,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
BAHI3,Consumo Cíclico,Diversos,Serviços Educacionais
BALM3,Saúde,Equipamentos,Equipamentos
BALM4,Saúde,Equipamentos,Equipamentos
BAUH4,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
BAZA3,Financeiro,Intermediários Financeiros,Bancos
BBAS3,Financeiro,Intermediários Financeiros,Bancos
BBDC3,Financeiro,Intermediários Financeiros,Bancos
BBDC4,Financeiro,Intermediários Financeiros,Bancos
BBRK3,Financeiro,Exploração de Imóveis,Intermediação Imobiliária
BBSE3,Financeiro,Previdência e Seguros,Seguradoras
BDLL3,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
BDLL4,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
BEEF3,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
BEES3,Financeiro,Intermediários Financeiros,Bancos
BEES4,Financeiro,Intermediários Financeiros,Bancos
BGIP3,Financeiro,Intermediários Financeiros,Bancos
BGIP4,Financeiro,Intermediários Financeiros,Bancos
BIDI11,Financeiro,Intermediários Financeiros,Bancos
BIDI3,Financeiro,Intermediários Financeiros,Bancos
BIDI4,Financeiro,Intermediários Financeiros,Bancos
BIOM3,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
BKBR3,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares
BMEB3,Financeiro,Intermediários Financeiros,Bancos
BMEB4,Financeiro,Intermediários Financeiros,Bancos
BMGB4,Financeiro,Intermediários Financeiros,Bancos
BMIN3,Financeiro,Intermediários Financeiros,Bancos
BMIN4,Financeiro,Intermediários Financeiros,Bancos
BMKS3,Consumo Cíclico,Viagens e Lazer,Bicicletas
BNBR3,Financeiro,Intermediários Financeiros,Bancos
BOBR3,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza
BOBR4,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza
BPAC11,Financeiro,Intermediários Financeiros,Bancos
BPAC3,Financeiro,Intermediários Financeiros,Bancos
BPAC5,Financeiro,Intermediários Financeiros,Bancos
BPAN4,Financeiro,Intermediários Financeiros,Bancos
BRAP3,Materiais Básicos,Mineração,Minerais Metálicos
BRAP4,Materiais Básicos,Mineração,Minerais Metálicos
BRDT3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
BRFS3,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
BRGE11,Financeiro,Previdência e Seguros,Seguradoras
BRGE12,Financeiro,Previdência e Seguros,Seguradoras
BRGE3,Financeiro,Previdência e Seguros,Seguradoras
BRGE5,Financeiro,Previdência e Seguros,Seguradoras
BRGE6,Financeiro,Previdência e Seguros,Seguradoras
BRGE8,Financeiro,Previdência e Seguros,Seguradoras
BRIV3,Financeiro,Intermediários Financeiros,Bancos
BRIV4,Financeiro,Intermediários Financeiros,Bancos
BRKM3,Materiais Básicos,Químicos,Petroquímicos
BRKM5,Materiais Básicos,Químicos,Petroquímicos
BRKM6,Materiais Básicos,Químicos,Petroquímicos
BRML3,Financeiro,Exploração de Imóveis,Exploração de Imóveis
BRPR3,Financeiro,Exploração de Imóveis,Exploração de Imóveis
BRSR3,Financeiro,Intermediários Financeiros,Bancos
BRSR5,Financeiro,Intermediários Financeiros,Bancos
BRSR6,Financeiro,Intermediários Financeiros,Bancos
BSEV3,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool
BSLI3,Financeiro,Intermediários Financeiros,Bancos
BTOW3,Consumo Cíclico,Comércio,Produtos Diversos
BTTL3,Bens Industriais,Comércio,Material de Transporte
CALI4,Consumo Cíclico,Construção Civil,Incorporações
CAMB3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
CAMB4,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
CAML3,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
CARD3,Bens Industriais,Serviços Diversos,Serviços Diversos
CBEE3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CCPR3,Financeiro,Exploração de Imóveis,Exploração de Imóveis
CCRO3,Bens Industriais,Transporte,Exploração de Rodovias
CCXC3,,,
CEBR3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEBR5,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEBR6,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEDO3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CEDO4,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CEEB3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEEB5,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEED3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEED4,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEGR3,Utilidade Pública,Gás,Gás
CELP5,,,
CELP7,,,
CEPE5,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEPE6,Utilidade Pública,Energia Elétrica,Energia Elétrica
CESP3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CESP5,Utilidade Pública,Energia Elétrica,Energia Elétrica
CESP6,Utilidade Pública,Energia Elétrica,Energia Elétrica
CGAS3,Utilidade Pública,Gás,Gás
CGAS5,Utilidade Pública,Gás,Gás
CGRA3,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
CGRA4,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
CIEL3,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
CLSC3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CLSC4,Utilidade Pública,Energia Elétrica,Energia Elétrica
CMIG3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CMIG4,Utilidade Pública,Energia Elétrica,Energia Elétrica
CNTO3,Consumo Cíclico,Comércio,Produtos Diversos
COCE3,Utilidade Pública,Energia Elétrica,Energia Elétrica
COCE5,Utilidade Pública,Energia Elétrica,Energia Elétrica
COGN3,Consumo Cíclico,Diversos,Serviços Educacionais
CPFE3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPLE3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPLE6,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPRE3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CRDE3,Consumo Cíclico,Construção Civil,Incorporações
CRFB3,Consumo não Cíclico,Comércio e Distribuição,Alimentos
CRIV3,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento
CRIV4,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento
CRPG3,Materiais Básicos,Químicos,Químicos Diversos
CRPG5,Materiais Básicos,Químicos,Químicos Diversos
CRPG6,Materiais Básicos,Químicos,Químicos Diversos
CSAB3,Financeiro,Previdência e Seguros,Seguradoras
CSAB4,Financeiro,Previdência e Seguros,Seguradoras
CSAN3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
CSMG3,Utilidade Pública,Água e Saneamento,Água e Saneamento
CSNA3,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
CSRN3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CSRN5,Utilidade Pública,Energia Elétrica,Energia Elétrica
CSRN6,Utilidade Pública,Energia Elétrica,Energia Elétrica
CTKA3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CTKA4,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CTNM3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CTNM4,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CTSA3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CTSA4,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CVCB3,Consumo Cíclico,Viagens e Lazer,Viagens e Turismo
CYRE3,Consumo Cíclico,Construção Civil,Incorporações
DASA3,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
DIRR3,Consumo Cíclico,Construção Civil,Incorporações
DMMO3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
DOHL3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
DOHL4,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
DTCY3,Bens Industriais,Serviços Diversos,Serviços Diversos
DTEX3,Materiais Básicos,Madeira e Papel,Madeira
EALT3,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
EALT4,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
ECOR3,Bens Industriais,Transporte,Exploração de Rodovias
ECPR3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
ECPR4,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
EGIE3,Utilidade Pública,Energia Elétrica,Energia Elétrica
EKTR3,Utilidade Pública,Energia Elétrica,Energia Elétrica
EKTR4,Utilidade Pública,Energia Elétrica,Energia Elétrica
ELEK3,Materiais Básicos,Químicos,Petroquímicos
ELEK4,Materiais Básicos,Químicos,Petroquímicos
ELET3,Utilidade Pública,Energia Elétrica,Energia Elétrica
ELET5,Utilidade Pública,Energia Elétrica,Energia Elétrica
ELET6,Utilidade Pública,Energia Elétrica,Energia Elétrica
EMAE4,Utilidade Pública,Energia Elétrica,Energia Elétrica
EMBR3,Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa
ENAT3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
ENBR3,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENEV3,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENGI11,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENGI3,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENGI4,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENMT3,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENMT4,Utilidade Pública,Energia Elétrica,Energia Elétrica
EQTL3,Utilidade Pública,Energia Elétrica,Energia Elétrica
ESTR4,Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos
ETER3,Bens Industriais,Construção e Engenharia,Produtos para Construção
EUCA3,Materiais Básicos,Madeira e Papel,Madeira
EUCA4,Materiais Básicos,Madeira e Papel,Madeira
EVEN3,Consumo Cíclico,Construção Civil,Incorporações
EZTC3,Consumo Cíclico,Construção Civil,Incorporações
FESA3,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
FESA4,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
FHER3,Materiais Básicos,Químicos,Fertilizantes e Defensivos
FLRY3,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
FRAS3,Bens Industriais,Material de Transporte,Material Rodoviário
FRIO3,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
FRTA3,Consumo não Cíclico,Agropecuária,Agricultura
GBIO33,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
GEPA3,Utilidade Pública,Energia Elétrica,Energia Elétrica
GEPA4,Utilidade Pública,Energia Elétrica,Energia Elétrica
GFSA3,Consumo Cíclico,Construção Civil,Incorporações
GGBR3,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
GGBR4,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
GNDI3,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
GOAU3,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
GOAU4,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
GOLL4,Bens Industriais,Transporte,Transporte Aéreo
GPCP3,Materiais Básicos,Químicos,Petroquímicos
GPIV33,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
GRND3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
GSHP3,Financeiro,Exploração de Imóveis,Exploração de Imóveis
GUAR3,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
HAGA3,Bens Industriais,Construção e Engenharia,Produtos para Construção
HAGA4,Bens Industriais,Construção e Engenharia,Produtos para Construção
HAPV3,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
HBOR3,Consumo Cíclico,Construção Civil,Incorporações
HBTS5,Financeiro,Exploração de Imóveis,Exploração de Imóveis
HETA4,Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos
HGTX3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Vestuário
HOOT4,Consumo Cíclico,Hoteis e Restaurantes,Hotelaria
HYPE3,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
IDNT3,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
IDVL3,Financeiro,Intermediários Financeiros,Bancos
IDVL4,Financeiro,Intermediários Financeiros,Bancos
IGBR3,Financeiro,Exploração de Imóveis,Exploração de Imóveis
IGTA3,Financeiro,Exploração de Imóveis,Exploração de Imóveis
INEP3,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
INEP4,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
IRBR3,Financeiro,Previdência e Seguros,Seguradoras
ITSA3,Financeiro,Intermediários Financeiros,Bancos
ITSA4,Financeiro,Intermediários Financeiros,Bancos
ITUB3,Financeiro,Intermediários Financeiros,Bancos
ITUB4,Financeiro,Intermediários Financeiros,Bancos
JBDU3,Outros,Outros,Outros
JBDU4,Outros,Outros,Outros
JBSS3,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
JFEN3,Consumo Cíclico,Construção Civil,Incorporações
JHSF3,Consumo Cíclico,Construção Civil,Incorporações
JOPA3,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
JOPA4,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
JPSA3,Financeiro,Exploração de Imóveis,Exploração de Imóveis
JSLG3,Bens Industriais,Transporte,Transporte Rodoviário
KEPL3,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
KLBN11,Materiais Básicos,Madeira e Papel,Papel e Celulose
KLBN3,Materiais Básicos,Madeira e Papel,Papel e Celulose
KLBN4,Materiais Básicos,Madeira e Papel,Papel e Celulose
LAME3,Consumo Cíclico,Comércio,Produtos Diversos
LAME4,Consumo Cíclico,Comércio,Produtos Diversos
LCAM3,Consumo Cíclico,Diversos,Aluguel de carros
LEVE3,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas
LIGT3,Utilidade Pública,Energia Elétrica,Energia Elétrica
LINX3,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
LIPR3,Utilidade Pública,Energia Elétrica,Energia Elétrica
LIQO3,Bens Industriais,Serviços Diversos,Serviços Diversos
LLIS3,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
LOGG3,Financeiro,Exploração de Imóveis,Exploração de Imóveis
LOGN3,Bens Industriais,Transporte,Transporte Hidroviário
LPSB3,Financeiro,Exploração de Imóveis,Intermediação Imobiliária
LREN3,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
LUPA3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços
LUXM4,Bens Industriais,Transporte,Transporte Hidroviário
MAPT4,Outros,Outros,Outros
MDIA3,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
MEAL3,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares
MEND5,,,
MEND6,,,
MERC4,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento
MGEL4,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
MGLU3,Consumo Cíclico,Comércio,Eletrodomésticos
MILS3,Bens Industriais,Construção e Engenharia,Serviços Diversos
